Name,ID,
PARAQUAT,61601,20
ABAMECTIN,122804,11
BETA-CYFLUTHRIN,118831,869
BIFENTHRIN,128825,54
CHLORANTRANILIPROLE,90100,5000
CHLORPYRIFOS,59101,2000
CYFLUTHRIN,128831,869
EMAMECTIN BENZOATE,122806,
ESFENVALERATE,109303,88
IMIDACLOPRID,129099,131
LAMBDA-CYHALOTHRIN,128897,56
METHOMYL,90301,45
NALED,34401,92
OXYDEMETON-METHYL,58702,48
PERMETHRIN,109701,470
THIAMETHOXAM,60109,1563
ZETA-CYPERMETHRIN,129064,250
DICHLOROPROPENE,29001,
DIAZINON,57801,76
DIMETHOATE,35001,60
DISULFOTON,32501,2.3
FENPROPATHRIN,127901,18
CYPERMETHRIN,109702,18
PRONAMIDE,101701,3350
DIFLUBENZURON,108201,790
GAMMA-CYHALOTHRIN,128807,55
METHAMIDOPHOS,101201,7.5
THIODICARB,114501,66